origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,demanda_origen,demanda_destino,tiempo_base,tiempo_viaje
Portal Norte,Toberin,0,5,Normal,0,0,2,1,4,5.14
Portal Norte,Toberin,0,5,Lluvia,0,0,2,1,4,5.43
Portal Norte,Toberin,0,5,Lluvia fuerte,0,0,2,1,4,7.16
Portal Norte,Toberin,0,6,Normal,1,0,2,1,4,7.04
Portal Norte,Toberin,0,6,Lluvia,1,0,2,1,4,9.29
Portal Norte,Toberin,0,6,Lluvia fuerte,1,0,2,1,4,9.73
Portal Norte,Toberin,0,7,Normal,1,0,2,1,4,6.16
Portal Norte,Toberin,0,7,Lluvia,1,0,2,1,4,7.61
Portal Norte,Toberin,0,7,Lluvia fuerte,1,0,2,1,4,10.35
Portal Norte,Toberin,0,8,Normal,1,0,2,1,4,6.65
Portal Norte,Toberin,0,8,Lluvia,1,0,2,1,4,9.03
Portal Norte,Toberin,0,8,Lluvia fuerte,1,0,2,1,4,10.36
Portal Norte,Toberin,0,9,Normal,1,0,2,1,4,6.97
Portal Norte,Toberin,0,9,Lluvia,1,0,2,1,4,8.72
Portal Norte,Toberin,0,9,Lluvia fuerte,1,0,2,1,4,9.42
Portal Norte,Toberin,0,10,Normal,0,0,2,1,4,4.6
Portal Norte,Toberin,0,10,Lluvia,0,0,2,1,4,6.42
Portal Norte,Toberin,0,10,Lluvia fuerte,0,0,2,1,4,7.66
Portal Norte,Toberin,0,11,Normal,0,0,2,1,4,5.31
Portal Norte,Toberin,0,11,Lluvia,0,0,2,1,4,6.28
Portal Norte,Toberin,0,11,Lluvia fuerte,0,0,2,1,4,7.55
Portal Norte,Toberin,0,12,Normal,0,0,2,1,4,5.47
Portal Norte,Toberin,0,12,Lluvia,0,0,2,1,4,5.85
Portal Norte,Toberin,0,12,Lluvia fuerte,0,0,2,1,4,7.58
Portal Norte,Toberin,0,13,Normal,0,0,2,1,4,5.33
Portal Norte,Toberin,0,13,Lluvia,0,0,2,1,4,6.14
Portal Norte,Toberin,0,13,Lluvia fuerte,0,0,2,1,4,8.04
Portal Norte,Toberin,0,14,Normal,0,0,2,1,4,5.08
Portal Norte,Toberin,0,14,Lluvia,0,0,2,1,4,6.25
Portal Norte,Toberin,0,14,Lluvia fuerte,0,0,2,1,4,6.82
Portal Norte,Toberin,0,15,Normal,0,0,2,1,4,4.73
Portal Norte,Toberin,0,15,Lluvia,0,0,2,1,4,5.75
Portal Norte,Toberin,0,15,Lluvia fuerte,0,0,2,1,4,6.87
Portal Norte,Toberin,0,16,Normal,1,0,2,1,4,6.2
Portal Norte,Toberin,0,16,Lluvia,1,0,2,1,4,8.35
Portal Norte,Toberin,0,16,Lluvia fuerte,1,0,2,1,4,10.03
Portal Norte,Toberin,0,17,Normal,1,0,2,1,4,6.4
Portal Norte,Toberin,0,17,Lluvia,1,0,2,1,4,9.19
Portal Norte,Toberin,0,17,Lluvia fuerte,1,0,2,1,4,9.96
Portal Norte,Toberin,0,18,Normal,1,0,2,1,4,6.74
Portal Norte,Toberin,0,18,Lluvia,1,0,2,1,4,9.06
Portal Norte,Toberin,0,18,Lluvia fuerte,1,0,2,1,4,10.83
Portal Norte,Toberin,0,19,Normal,1,0,2,1,4,7.68
Portal Norte,Toberin,0,19,Lluvia,1,0,2,1,4,8.26
Portal Norte,Toberin,0,19,Lluvia fuerte,1,0,2,1,4,9.44
Portal Norte,Toberin,0,20,Normal,0,0,2,1,4,4.77
Portal Norte,Toberin,0,20,Lluvia,0,0,2,1,4,5.65
Portal Norte,Toberin,0,20,Lluvia fuerte,0,0,2,1,4,8.16
Portal Norte,Toberin,0,21,Normal,0,0,2,1,4,5.38
Portal Norte,Toberin,0,21,Lluvia,0,0,2,1,4,5.78
Portal Norte,Toberin,0,21,Lluvia fuerte,0,0,2,1,4,7.73
Portal Norte,Toberin,0,22,Normal,0,0,2,1,4,4.9
Portal Norte,Toberin,0,22,Lluvia,0,0,2,1,4,6.5
Portal Norte,Toberin,0,22,Lluvia fuerte,0,0,2,1,4,7.44
Portal Norte,Toberin,1,5,Normal,0,0,2,1,4,4.76
Portal Norte,Toberin,1,5,Lluvia,0,0,2,1,4,5.7
