estacion,dia_semana,hora_dia,es_hora_pico,es_fin_semana,categoria_demanda,tiene_evento_especial,nivel_congestion
Portal Norte,0,5,0,0,2,0,0.682
Portal Norte,0,6,1,0,2,0,0.947
Portal Norte,0,7,1,0,2,0,1.0
Portal Norte,0,8,1,0,2,0,0.962
Portal Norte,0,9,1,0,2,1,1.0
Portal Norte,0,10,0,0,2,0,0.661
Portal Norte,0,11,0,0,2,0,0.72
Portal Norte,0,12,0,0,2,0,0.743
Portal Norte,0,13,0,0,2,0,0.695
Portal Norte,0,14,0,0,2,0,0.698
Portal Norte,0,15,0,0,2,0,0.673
Portal Norte,0,16,1,0,2,0,0.926
Portal Norte,0,17,1,0,2,0,1.0
Portal Norte,0,18,1,0,2,0,1.0
Portal Norte,0,19,1,0,2,0,1.0
Portal Norte,0,20,0,0,2,0,0.713
Portal Norte,0,21,0,0,2,0,0.716
Portal Norte,0,22,0,0,2,0,0.727
Portal Norte,1,5,0,0,2,0,0.711
Portal Norte,1,6,1,0,2,0,0.865
Portal Norte,1,7,1,0,2,1,1.0
Portal Norte,1,8,1,0,2,0,0.975
Portal Norte,1,9,1,0,2,0,1.0
Portal Norte,1,10,0,0,2,0,0.693
Portal Norte,1,11,0,0,2,0,0.654
Portal Norte,1,12,0,0,2,0,0.665
Portal Norte,1,13,0,0,2,1,0.866
Portal Norte,1,14,0,0,2,0,0.723
Portal Norte,1,15,0,0,2,0,0.745
Portal Norte,1,16,1,0,2,0,0.9
Portal Norte,1,17,1,0,2,0,1.0
Portal Norte,1,18,1,0,2,0,1.0
Portal Norte,1,19,1,0,2,0,1.0
Portal Norte,1,20,0,0,2,0,0.665
Portal Norte,1,21,0,0,2,0,0.735
Portal Norte,1,22,0,0,2,0,0.653
Portal Norte,2,5,0,0,2,0,0.749
Portal Norte,2,6,1,0,2,0,0.879
Portal Norte,2,7,1,0,2,0,1.0
Portal Norte,2,8,1,0,2,0,0.96
Portal Norte,2,9,1,0,2,0,0.99
Portal Norte,2,10,0,0,2,0,0.706
Portal Norte,2,11,0,0,2,0,0.738
Portal Norte,2,12,0,0,2,0,0.74
Portal Norte,2,13,0,0,2,0,0.69
Portal Norte,2,14,0,0,2,0,0.749
Portal Norte,2,15,0,0,2,0,0.715
Portal Norte,2,16,1,0,2,0,0.892
Portal Norte,2,17,1,0,2,0,1.0
Portal Norte,2,18,1,0,2,1,1.0
Portal Norte,2,19,1,0,2,0,1.0
Portal Norte,2,20,0,0,2,0,0.741
Portal Norte,2,21,0,0,2,0,0.741
Portal Norte,2,22,0,0,2,0,0.655
Portal Norte,3,5,0,0,2,0,0.666
Portal Norte,3,6,1,0,2,0,0.917
Portal Norte,3,7,1,0,2,0,1.0
Portal Norte,3,8,1,0,2,1,1.0
Portal Norte,3,9,1,0,2,0,0.995
Portal Norte,3,10,0,0,2,0,0.713
Portal Norte,3,11,0,0,2,0,0.711
Portal Norte,3,12,0,0,2,0,0.749
Portal Norte,3,13,0,0,2,0,0.672
Portal Norte,3,14,0,0,2,1,0.856
Portal Norte,3,15,0,0,2,0,0.706
Portal Norte,3,16,1,0,2,1,1.0
Portal Norte,3,17,1,0,2,0,1.0
Portal Norte,3,18,1,0,2,0,1.0
Portal Norte,3,19,1,0,2,0,1.0
Portal Norte,3,20,0,0,2,1,0.932
Portal Norte,3,21,0,0,2,0,0.74
Portal Norte,3,22,0,0,2,0,0.669
Portal Norte,4,5,0,0,2,0,0.73
Portal Norte,4,6,1,0,2,0,0.942
Portal Norte,4,7,1,0,2,0,1.0
Portal Norte,4,8,1,0,2,0,0.956
Portal Norte,4,9,1,0,2,0,0.957
Portal Norte,4,10,0,0,2,0,0.719
Portal Norte,4,11,0,0,2,0,0.692
Portal Norte,4,12,0,0,2,0,0.68
Portal Norte,4,13,0,0,2,0,0.714
Portal Norte,4,14,0,0,2,0,0.698
Portal Norte,4,15,0,0,2,0,0.672
Portal Norte,4,16,1,0,2,1,1.0
Portal Norte,4,17,1,0,2,0,1.0
Portal Norte,4,18,1,0,2,0,1.0
Portal Norte,4,19,1,0,2,0,1.0
Portal Norte,4,20,0,0,2,0,0.742
Portal Norte,4,21,0,0,2,0,0.661
Portal Norte,4,22,0,0,2,0,0.738
Portal Norte,5,5,0,1,2,0,0.4
Portal Norte,5,6,1,1,2,0,0.64
Portal Norte,5,7,1,1,2,0,0.745
Portal Norte,5,8,1,1,2,0,0.745
Portal Norte,5,9,1,1,2,0,0.713
Portal Norte,5,10,0,1,2,0,0.421
Portal Norte,5,11,0,1,2,0,0.367
Portal Norte,5,12,0,1,2,0,0.434
Portal Norte,5,13,0,1,2,0,0.389
Portal Norte,5,14,0,1,2,0,0.398
Portal Norte,5,15,0,1,2,0,0.447
Portal Norte,5,16,1,1,2,0,0.57
Portal Norte,5,17,1,1,2,0,0.798
Portal Norte,5,18,1,1,2,0,0.723
Portal Norte,5,19,1,1,2,0,0.735
Portal Norte,5,20,0,1,2,0,0.398
Portal Norte,5,21,0,1,2,0,0.353
Portal Norte,5,22,0,1,2,0,0.351
Portal Norte,6,5,0,1,2,0,0.402
Portal Norte,6,6,1,1,2,0,0.59
Portal Norte,6,7,1,1,2,0,0.726
Portal Norte,6,8,1,1,2,0,0.695
Portal Norte,6,9,1,1,2,0,0.689
Portal Norte,6,10,0,1,2,0,0.411
Portal Norte,6,11,0,1,2,0,0.416
Portal Norte,6,12,0,1,2,0,0.384
Portal Norte,6,13,0,1,2,0,0.44
Portal Norte,6,14,0,1,2,0,0.38
Portal Norte,6,15,0,1,2,0,0.406
Portal Norte,6,16,1,1,2,0,0.595
Portal Norte,6,17,1,1,2,0,0.757
Portal Norte,6,18,1,1,2,0,0.746
Portal Norte,6,19,1,1,2,0,0.772
Portal Norte,6,20,0,1,2,0,0.377
Portal Norte,6,21,0,1,2,0,0.352
Portal Norte,6,22,0,1,2,0,0.427
Toberin,0,5,0,0,1,0,0.502
