origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,mejor_ruta,num_estaciones,num_transbordos,tiempo_total,congestion_promedio,num_alternativas,num_estaciones_alternativas,calidad_ruta
Portal Norte,Ricaurte,2,21,Lluvia,0,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,27,25,122.4,0.478,1,27,0.0
Toberin,Prado,4,8,Lluvia,1,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado,6,4,27.46,0.6,1,6,0.83
Cardio Infantil,Alcala,6,5,Lluvia fuerte,0,1,Cardio Infantil|Mazuren|Calle 142|Alcala,4,2,12.36,0.05,1,4,6.23
Mazuren,Santa Isabel,2,13,Normal,0,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,23,21,86.6,0.457,1,23,0.0
Calle 142,Santa Isabel,6,14,Lluvia fuerte,0,1,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,22,20,99.12,0.164,1,22,0.0
Alcala,Calle 63,6,19,Lluvia fuerte,1,1,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63,13,11,72.23,0.4,1,13,0.0
Prado,Calle 26,2,6,Lluvia,1,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26,15,13,86.11,0.713,1,15,0.0
Calle 127,Comuneros,0,14,Lluvia,0,0,Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,18,16,81.96,0.489,1,18,0.0
Pepe Sierra,Santa Isabel,0,13,Normal,0,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,18,16,67.5,0.467,1,18,0.0
Calle 106,Calle 76,5,21,Lluvia fuerte,0,1,Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76,6,4,25.2,0.2,1,6,2.14
Calle 100,Salitre El Greco,3,20,Lluvia fuerte,0,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco,12,10,68.7,0.517,1,12,0.0
Virrey,Calle 85,6,16,Normal,1,1,Virrey|Calle 85,2,0,3.12,0.3,1,2,8.94
Calle 85,Santa Isabel,2,17,Lluvia fuerte,1,0,Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,14,12,99.84,0.671,1,14,0.0
Heroes,Flores,4,10,Normal,0,0,Heroes|Calle 76|Calle 72|Flores,4,2,10.5,0.55,1,4,4.82
Calle 76,Av. Jimenez,4,8,Lluvia fuerte,1,0,Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,9,7,63.57,0.7,1,9,0.0
Calle 72,Virrey,1,19,Lluvia fuerte,1,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey,5,3,29.25,0.74,1,5,1.82
Flores,Calle 106,6,6,Lluvia fuerte,1,1,Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,8,6,43.37,0.4,1,8,0.0
Calle 63,Calle 26,0,17,Lluvia fuerte,1,0,Calle 63|Calle 45|Marly|Calle 26,4,2,25.16,0.7,1,4,3.64
Calle 45,Av. Rojas,4,14,Lluvia fuerte,0,0,Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,6,4,32.7,0.467,1,6,0.97
Marly,Profamilia,0,14,Lluvia fuerte,0,0,Marly|Calle 26|Profamilia,3,1,15.45,0.5,1,3,6.23
Calle 26,Calle 142,3,17,Lluvia fuerte,1,0,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142,17,15,122.46,0.688,1,17,0.0
Profamilia,Av. Jimenez,1,12,Normal,0,0,Profamilia|Av. Jimenez,2,0,5.0,0.5,1,2,8.25
Av. Jimenez,Portal Norte,6,14,Lluvia,0,1,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,23,21,84.0,0.191,1,23,0.0
Tercer Milenio,Ricaurte,6,8,Lluvia,1,1,Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,4,2,13.73,0.3,1,4,5.41
Comuneros,Calle 127,0,15,Lluvia fuerte,0,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127,18,16,101.7,0.489,1,18,0.0
Santa Isabel,Salitre El Greco,6,10,Lluvia fuerte,0,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,7,5,31.2,0.143,1,7,0.51
Ricaurte,Av. Jimenez,2,9,Lluvia,1,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez,5,3,23.09,0.66,1,5,2.37
Salitre El Greco,Marly,3,20,Lluvia,0,0,Salitre El Greco|Calle 26|Marly,3,1,13.8,0.567,1,3,6.11
El Tiempo,Calle 63,2,8,Lluvia,1,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63,6,4,34.01,0.667,1,6,0.3
